"year","institution","indicator","line","grades1_4","grades5_9","Grades10_11","primary_general","basic_programs","programs_secondary"
"2018","ГОУ","Численность обучающихся, которым в соответствии с образовательной программой должны преподаваться иностранные языки (сумма стр. 02, 13)","01","5185187","7272389","1433011","37922","72535","1910"
"2018","ГОУ","В том числе обучающиеся, которым: преподается иностранный язык (не менее одного)","02","5148516","7262913","1430746","37539","72384","1898"
"2018","ГОУ","из них изучают язык: английский","03","4908291","6855361","1350586","33651","61597","1828"
"2018","ГОУ","французский","04","36903","322210","31421","250","1922","8"
"2018","ГОУ","немецкий","05","206109","1033877","95483","3613","12205","62"
"2018","ГОУ","итальянский","06","262","5753","366","","",""
"2018","ГОУ","испанский","07","3854","29447","2291","31","97",""
"2018","ГОУ","китайский","08","2688","23504","1762","","111",""
"2018","ГОУ","арабский","09","4","536","56","","",""
"2018","ГОУ","португальский","10","","","","","",""
"2018","ГОУ","турецкий","11","","1611","516","","",""
"2018","ГОУ","другие","12","2728","15049","3090","","",""
"2018","ГОУ","не преподается иностранный язык","13","36671","9476","2265","383","151","12"
"2018","ГОУ","из строки 13 – из-за отсутствия учителя иностранного языка","14","7932","7640","2056","39","35","4"
"2018","ГОУ","Из строки 02 – изучают: 2 иностранных языка","15","13194","1118053","56730","6","3883","1"
"2018","ГОУ","3 и более иностранных языка","16","","3272","975","","",""
"2018","НОУ","Численность обучающихся, которым в соответствии с образовательной программой должны преподаваться иностранные языки (сумма стр. 02, 13)","01","48495","50045","13452","36","54","2"
"2018","НОУ","В том числе обучающиеся, которым: преподается иностранный язык (не менее одного)","02","48321","50043","13452","36","54","2"
"2018","НОУ","из них изучают язык: английский","03","47796","49465","13363","36","54","2"
"2018","НОУ","французский","04","495","4513","640","","32",""
"2018","НОУ","немецкий","05","1257","5765","840","","",""
"2018","НОУ","итальянский","06","15","156","30","","",""
"2018","НОУ","испанский","07","234","1725","207","","",""
"2018","НОУ","китайский","08","239","594","67","","",""
"2018","НОУ","арабский","09","645","331","56","","",""
"2018","НОУ","португальский","10","","","","","",""
"2018","НОУ","турецкий","11","81","89","12","","",""
"2018","НОУ","другие","12","514","1254","199","","",""
"2018","НОУ","не преподается иностранный язык","13","174","2","","","",""
"2018","НОУ","из строки 13 – из-за отсутствия учителя иностранного языка","14","","","","","",""
"2018","НОУ","Из строки 02 – изучают: 2 иностранных языка","15","2778","13416","1797","","32",""
"2018","НОУ","3 и более иностранных языка","16","","321","81","","",""
